"sno","IP","type","age","female","disability","married","education","children","cva","safe","parenting_better","relationship_better","worried","income"
1,"A","Host community HH",23,0,0,1,"Completed primary school",3,0,"lesssafe",1,0,"lessworried",498.5
2,"A","Host community HH",37,0,0,1,"Completed primary school",1,0,"safer",0,0,"moreworried",553.59
3,"A","Internally displaced HH",35,0,0,1,"Never attended school",4,0,"safer",0,0,"lessworried",327.57
4,"A","Internally displaced HH",42,1,1,0,"Never attended school",2,1,"lesssafe",0,0,"lessworried",170.6
5,"A","Internally displaced HH",27,0,0,1,"Never attended school",2,0,"lesssafe",1,0,"moreworried",340.8
6,"A","Internally displaced HH",50,1,1,0,"Never attended school",1,0,"lesssafe",0,0,"moreworried",238.42
7,"A","Internally displaced HH",53,0,0,1,"Completed primary school",3,0,"assafe",1,0,"asworried",612.79
8,"A","Host community HH",48,0,0,1,"Never attended school",2,1,"safer",1,0,"asworried",443.39
9,"A","Host community HH",37,1,0,0,"Completed secondary school",1,0,"assafe",1,0,"moreworried",647.26
10,"A","Host community HH",36,0,0,1,"Completed primary school",1,0,"safer",1,0,"moreworried",648.44
11,"A","Host community HH",30,0,0,1,"Completed primary school",1,1,"safer",1,1,"moreworried",509.77
12,"A","Host community HH",45,0,0,1,"Never attended school",2,0,"assafe",1,1,"lessworried",370.2
13,"A","Host community HH",23,1,0,0,"Completed primary school",0,0,"lesssafe",1,0,"lessworried",464.21
14,"A","Host community HH",26,0,0,0,"Never attended school",1,0,"safer",0,1,"moreworried",268.8
15,"A","Host community HH",47,0,1,0,"Completed secondary school",2,0,"safer",0,1,"lessworried",674.73
16,"A","Host community HH",30,0,0,0,"Never attended school",2,0,"safer",1,0,"asworried",307.65
17,"A","Host community HH",46,0,0,0,"Completed secondary school",2,0,"safer",1,0,"asworried",697.72
18,"A","Host community HH",38,0,0,0,"Completed university or beyond",5,0,"safer",1,0,"moreworried",1055.57
19,"A","Host community HH",50,0,0,1,"Completed primary school",1,0,"safer",0,0,"moreworried",585.77
20,"A","Internally displaced HH",46,1,0,0,"Did not complete primary school",2,0,"safer",0,0,"asworried",263.2
21,"A","Host community HH",41,0,0,1,"Completed secondary school",0,0,"safer",1,0,"asworried",701.53
22,"A","Host community HH",51,0,0,0,"Never attended school",1,1,"safer",0,1,"moreworried",451.11
23,"A","Host community HH",52,0,0,0,"Never attended school",3,0,"safer",0,0,"lessworried",398.75
24,"A","Host community HH",21,0,0,0,"Completed secondary school",3,0,"assafe",1,0,"lessworried",602.36
25,"A","Host community HH",44,0,0,0,"Completed secondary school",2,0,"safer",0,0,"moreworried",734.06
26,"A","Internally displaced HH",43,0,0,1,"Completed secondary school",1,0,"assafe",0,0,"asworried",667.28
27,"A","Host community HH",31,0,1,1,"Never attended school",6,1,"safer",1,1,"lessworried",322.14
28,"A","Host community HH",42,0,0,1,"Never attended school",6,0,"safer",0,0,"moreworried",397.25
29,"A","Host community HH",30,0,1,1,"Completed primary school",2,0,"lesssafe",1,0,"lessworried",526.31
30,"A","Host community HH",47,0,0,1,"Did not complete primary school",8,0,"safer",0,1,"asworried",410.93
31,"A","Host community HH",59,0,0,1,"Never attended school",1,1,"safer",0,0,"asworried",469.99
32,"A","Host community HH",56,1,0,0,"Completed primary school",2,1,"safer",1,0,"asworried",460.48
