"IP","IP_A","IP_B","IP_C","IP_D","IP_E","type","host","idp","refugees","age","female","disability","married","children","education","edu_primary","edu_secondary","edu_university","edu_no_completion","edu_no_education","edu_other","cva","safe","assafe","lesssafe","safer","parenting_better","relationship_better","worried","asworried","lessworried","moreworried","income","income2"
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,1.01259131786593,0,0,1,4,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,1,"lessworried",0,1,0,364.56,0.0622780534723569
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,-0.676375425962447,0,0,1,3,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"moreworried",0,0,1,259.03,-0.681458847000595
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,-0.507478751579609,0,0,1,4,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"moreworried",0,0,1,283.54,-0.508721318045871
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,0.0836596087603232,1,1,0,2,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,0,"moreworried",0,0,1,256.66,-0.698161741477245
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,-1.18306544911096,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"asworried",1,0,0,279.85,-0.534727090458883
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,0.759246306291674,1,1,0,1,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"moreworried",0,0,1,241.76,-0.803171500001333
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,-1.09861711191954,0,0,1,3,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,0,"lessworried",0,1,0,259.6,-0.677441695164439
"A",1,0,0,0,0,"Host community HH",1,0,0,0.590349631908836,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"moreworried",0,0,1,406.66,0.358983478563907
"A",1,0,0,0,0,"Host community HH",1,0,0,1.85707468978012,1,1,0,1,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,0,0,"asworried",1,0,0,370.23,0.102238142789913
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,0,1,1,3,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,0,0,"moreworried",0,0,1,366.93,0.0789809479490071
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.929720437536703,0,0,1,1,"Completed primary school",1,0,0,0,0,0,"0","safer",0,0,1,1,0,"lessworried",0,1,0,463.26,0.757879608259435
"A",1,0,0,0,0,"Host community HH",1,0,0,0.33700462033458,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"moreworried",0,0,1,372.01,0.114782932734401
"A",1,0,0,0,0,"Host community HH",1,0,0,-1.01416877472812,0,0,0,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,1,"lessworried",0,1,0,317.18,-0.271638883364642
"A",1,0,0,0,0,"Host community HH",1,0,0,-1.26751378630238,0,0,0,1,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"lessworried",0,1,0,365.3,0.06749330322456
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.42303041438819,1,0,0,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,1,"moreworried",0,0,1,295.66,-0.423303984266546
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.929720437536703,0,0,0,2,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,0,0,"moreworried",0,0,1,294.33,-0.432677338550911
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.760823763153866,1,0,1,0,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"moreworried",0,0,1,359.44,0.0261941632949522
"A",1,0,0,0,0,"Host community HH",1,0,0,-1.01416877472812,0,0,0,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"moreworried",0,0,1,329.41,-0.185446309757286
