"IP","cva","host","idp","refugees","age","female","disability","married","children","edu_no_education","edu_no_completion","edu_primary","edu_secondary","assafe","lesssafe","safer","parenting_better","relationship_better","asworried","lessworried","moreworried","income"
"A","not received",0.74,0.26,0,40.36,0.23,0.08,0.7,2.23,0.36,0.07,0.25,0.26,0.33,0.21,0.45,0.57,0.22,0.32,0.33,0.35,528.64
"A","not received",0.44,0.44,0.06,11.79,0.42,0.27,0.46,1.98,0.48,0.26,0.43,0.44,0.47,0.41,0.5,0.5,0.42,0.47,0.47,0.48,220.07
"A","received",0.48,0.52,0,45.59,0.24,0.1,0.68,3.13,0.79,0.1,0.1,0,0.19,0.16,0.65,0.71,0.47,0.19,0.59,0.22,365.06
"A","received",0.5,0.5,0,12.42,0.43,0.29,0.47,1.65,0.41,0.31,0.31,0.07,0.39,0.37,0.48,0.45,0.5,0.4,0.49,0.41,78.83
"B","not received",0.81,0.09,0.1,37.61,0.29,0.06,0.92,1.81,0.18,0.07,0.31,0.32,0.3,0.26,0.44,0.62,0.22,0.3,0.33,0.38,619.87
"B","not received",0.39,0.29,0.3,9.92,0.45,0.24,0.28,1.81,0.39,0.26,0.46,0.47,0.46,0.44,0.5,0.48,0.41,0.46,0.47,0.48,230.45
"B","received",0.68,0,0.32,38.28,0.18,0.14,0.94,2.31,0.42,0.06,0.17,0.29,0.22,0.22,0.57,0.63,0.49,0.37,0.37,0.26,476.06
"B","received",0.47,0,0.47,7.7,0.39,0.35,0.24,1,0.5,0.24,0.38,0.46,0.41,0.41,0.5,0.49,0.5,0.49,0.49,0.44,167.54
"C","not received",0.6,0.4,0,36.61,0.24,0.1,0.11,1.87,0.33,0.34,0.22,0.1,0.32,0.19,0.48,0.51,0.22,0.34,0.32,0.34,310.36
"C","not received",0.49,0.49,0,9.43,0.43,0.3,0.32,1.2,0.47,0.47,0.42,0.3,0.47,0.4,0.5,0.5,0.42,0.47,0.47,0.47,129.4
"C","received",0.36,0.64,0,35.81,0.29,0.17,0.15,1.94,0.24,0.42,0.21,0.12,0.18,0.06,0.75,0.78,0.67,0.15,0.74,0.11,324.49
"C","received",0.48,0.48,0,9.77,0.45,0.38,0.35,1.22,0.43,0.49,0.41,0.32,0.39,0.25,0.43,0.41,0.47,0.36,0.44,0.31,120.07
"D","not received",0.6,0.4,0,41.62,0.25,0.04,0.75,1.78,0.58,0.07,0.12,0.17,0.33,0.22,0.45,0.58,0.24,0.3,0.34,0.35,449.35
"D","not received",0.49,0.49,0,11.57,0.43,0.2,0.43,1.35,0.49,0.26,0.32,0.37,0.47,0.41,0.5,0.49,0.43,0.46,0.48,0.48,233.85
"D","received",0.49,0.51,0,44.85,0.25,0.03,0.67,1.73,0.72,0.12,0.06,0.03,0.17,0.12,0.71,0.75,0.65,0.17,0.64,0.19,397.18
"D","received",0.5,0.5,0,11.1,0.43,0.18,0.47,0.95,0.45,0.33,0.24,0.18,0.37,0.33,0.45,0.43,0.48,0.38,0.48,0.4,172.39
"E","not received",0.7,0.3,0,37.64,0.49,0.25,0.69,2.86,0.42,0.25,0.14,0.13,0.25,0.23,0.51,0.59,0.23,0.36,0.34,0.31,401.35
"E","not received",0.46,0.46,0,13.26,0.5,0.43,0.46,1.78,0.49,0.43,0.35,0.34,0.44,0.42,0.5,0.49,0.42,0.48,0.47,0.46,206.01
"E","received",0.74,0.26,0,37.3,0.44,0.2,0.71,2.88,0.37,0.28,0.15,0.14,0.18,0.11,0.7,0.8,0.67,0.1,0.71,0.19,425.9
"E","received",0.44,0.44,0,12.37,0.5,0.4,0.46,1.82,0.48,0.45,0.36,0.35,0.39,0.32,0.46,0.4,0.47,0.29,0.45,0.39,178.12
