"","Means (CVA received)","Means (CVA not received)","Std..Mean.Diff.","Var..Ratio","eCDF.Mean","eCDF.Max","Std..Pair.Dist."
"P score",0.44,0.33,0.81,0.66,0.18,0.32,NA
"beneficiary of partner B",0.06,0.17,-0.48,NA,0.11,0.11,NA
"beneficiary of partner C",0.32,0.18,0.31,NA,0.15,0.15,NA
"beneficiary of partner D",0.24,0.25,-0.02,NA,0.01,0.01,NA
"beneficiary of partner E",0.18,0.11,0.19,NA,0.07,0.07,NA
"being IDP",0.48,0.3,0.36,NA,0.18,0.18,NA
"being a refugee",0.02,0.02,0.01,NA,0,0,NA
"age",40.3,39.24,0.09,1.08,0.02,0.05,NA
"being female",0.29,0.28,0.04,NA,0.02,0.02,NA
"having disabilities",0.13,0.09,0.11,NA,0.04,0.04,NA
"being married",0.52,0.64,-0.24,NA,0.12,0.12,NA
"# of children",2.31,2.05,0.18,0.77,0.02,0.1,NA
"no education",0.5,0.39,0.22,NA,0.11,0.11,NA
"no degree",0.24,0.14,0.24,NA,0.1,0.1,NA
"primary completed",0.14,0.21,-0.19,NA,0.07,0.07,NA
"secondary completed",0.09,0.21,-0.41,NA,0.12,0.12,NA
"university completed",0.02,0.05,-0.27,NA,0.04,0.04,NA
"other degrees",0.01,0.01,0.06,NA,0.01,0.01,NA
